epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5019,0.93552,2.18899,1.33582,0.62753,0.55966,0.55979,0.4162,0.93934,1.54615,1.40587,0.00023676,0.00023676,0.00023676
2,160.17,0.96663,1.33591,1.33867,0.63474,0.52037,0.56856,0.38774,1.07655,1.74037,1.57541,0.00046536,0.00046536,0.00046536
3,236.281,0.95967,1.2682,1.32915,0.59889,0.51172,0.50342,0.3562,1.01111,1.46096,1.48099,0.000684535,0.000684535,0.000684535
4,311.799,0.97732,1.28433,1.34979,0.57461,0.53974,0.53524,0.38721,1.00692,1.82196,1.44475,0.000671588,0.000671588,0.000671588
5,387.987,0.93744,1.15901,1.32211,0.63865,0.58244,0.60436,0.43968,0.97666,1.30512,1.44166,0.000657451,0.000657451,0.000657451
6,465.248,0.93038,1.11546,1.31235,0.66461,0.67586,0.70991,0.53963,0.89742,1.01387,1.33778,0.000643314,0.000643314,0.000643314
7,541.006,0.89192,1.05785,1.28702,0.60828,0.62177,0.63116,0.48334,0.89,1.22542,1.3409,0.000629177,0.000629177,0.000629177
8,616.573,0.8636,1.00608,1.26839,0.67565,0.70874,0.69687,0.52686,0.90967,1.06496,1.36484,0.00061504,0.00061504,0.00061504
9,691.689,0.85807,0.96551,1.26776,0.70174,0.72881,0.75932,0.5917,0.83332,0.94024,1.29913,0.000600902,0.000600902,0.000600902
10,766.204,0.84833,0.94102,1.24538,0.70031,0.67373,0.73086,0.56698,0.81095,0.89011,1.26356,0.000586765,0.000586765,0.000586765
11,843.454,0.8149,0.90053,1.23754,0.72679,0.74562,0.76243,0.58667,0.84199,0.86666,1.29193,0.000572628,0.000572628,0.000572628
12,919.846,0.8247,0.86228,1.24363,0.73017,0.78145,0.77979,0.60092,0.82739,0.84323,1.282,0.000558491,0.000558491,0.000558491
13,995.049,0.80426,0.85849,1.23143,0.7368,0.72504,0.7653,0.60576,0.78892,0.83094,1.24504,0.000544354,0.000544354,0.000544354
14,1071.04,0.79177,0.85202,1.21966,0.71861,0.78481,0.77096,0.61138,0.78124,0.8215,1.23952,0.000530216,0.000530216,0.000530216
15,1146.17,0.7692,0.81132,1.20071,0.75809,0.75909,0.78694,0.62947,0.77466,0.8063,1.23574,0.000516079,0.000516079,0.000516079
16,1221.43,0.76837,0.80279,1.19542,0.71392,0.77254,0.78635,0.61327,0.78299,0.83321,1.23866,0.000501942,0.000501942,0.000501942
17,1296.04,0.76703,0.78299,1.19459,0.76107,0.76736,0.79437,0.63516,0.75542,0.76001,1.22057,0.000487805,0.000487805,0.000487805
18,1369.88,0.76541,0.76463,1.19454,0.75298,0.80241,0.82458,0.65864,0.75135,0.71873,1.21847,0.000473668,0.000473668,0.000473668
19,1444.48,0.74208,0.75455,1.18375,0.7339,0.76744,0.78409,0.63641,0.71478,0.71778,1.19009,0.00045953,0.00045953,0.00045953
20,1520.58,0.73834,0.73918,1.17971,0.7708,0.79229,0.81926,0.67117,0.70783,0.68861,1.18912,0.000445393,0.000445393,0.000445393
21,1595.77,0.73381,0.72816,1.18401,0.77212,0.76223,0.79576,0.64524,0.74914,0.73625,1.21693,0.000431256,0.000431256,0.000431256
22,1671.39,0.73854,0.72349,1.18249,0.76643,0.79932,0.80844,0.65938,0.7135,0.69011,1.18046,0.000417119,0.000417119,0.000417119
23,1746.4,0.71191,0.68214,1.16541,0.76531,0.79888,0.81565,0.66456,0.70396,0.67604,1.16449,0.000402982,0.000402982,0.000402982
24,1822.3,0.70795,0.66902,1.15548,0.74777,0.83905,0.82724,0.66844,0.71149,0.67009,1.17813,0.000388844,0.000388844,0.000388844
