               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075901,            0.032234,             0.05638,             0.58396,             0.24977,             0.22926,             0.11235,            0.033173,            0.013569,            0.033388,            0.070156,            0.003316,            0.003316
                   1,            0.050737,            0.026746,            0.033344,             0.72551,             0.32682,             0.28343,             0.13979,            0.033316,             0.01209,            0.023314,            0.040025,           0.0065176,           0.0065176
                   2,            0.048464,            0.025198,            0.024604,             0.67081,             0.34882,             0.33764,             0.18077,            0.032662,            0.012742,            0.023021,           0.0097609,           0.0095873,           0.0095873
                   3,            0.046268,            0.025526,            0.022472,             0.52946,             0.42582,             0.38936,             0.21182,            0.029057,            0.012552,             0.01929,            0.009406,            0.009406,            0.009406
                   4,            0.042623,            0.025266,            0.020246,              0.6256,             0.43457,              0.4414,             0.25307,            0.027686,            0.012154,            0.016076,            0.009406,            0.009406,            0.009406
                   5,            0.040118,            0.025095,            0.019091,             0.64083,             0.46666,             0.46683,             0.26001,            0.028044,            0.011873,            0.014869,            0.009208,            0.009208,            0.009208
                   6,            0.038677,             0.02547,            0.018497,             0.72349,             0.47959,             0.49199,             0.29706,             0.02705,            0.011429,            0.013586,             0.00901,             0.00901,             0.00901
                   7,            0.036995,            0.024822,            0.017079,             0.63422,             0.44565,             0.43853,             0.25475,            0.027783,            0.012836,            0.019737,            0.008812,            0.008812,            0.008812
                   8,            0.036684,            0.024233,             0.01549,             0.69099,             0.53384,              0.5468,             0.35364,            0.023566,            0.010819,            0.014324,            0.008614,            0.008614,            0.008614
                   9,             0.03575,             0.02439,            0.014623,             0.71108,             0.51182,              0.5364,             0.34019,            0.023339,             0.01152,            0.016706,            0.008416,            0.008416,            0.008416
                  10,            0.035444,            0.023867,            0.013016,             0.69879,             0.49395,             0.53611,             0.34555,            0.023899,             0.01135,            0.015393,            0.008218,            0.008218,            0.008218
                  11,             0.03402,            0.023868,            0.013507,             0.68925,             0.56614,             0.56225,             0.36463,            0.022243,            0.010632,            0.013442,             0.00802,             0.00802,             0.00802
                  12,            0.033793,            0.022786,            0.013166,             0.68477,             0.55509,             0.59913,              0.3956,             0.02239,            0.010547,            0.011684,            0.007822,            0.007822,            0.007822
                  13,            0.033236,            0.023048,            0.012272,             0.59996,             0.62701,             0.60354,             0.39146,            0.023194,            0.011073,            0.011106,            0.007624,            0.007624,            0.007624
                  14,            0.032546,            0.023122,            0.011659,             0.66861,             0.63687,             0.66752,             0.44589,            0.020391,            0.010464,           0.0077446,            0.007426,            0.007426,            0.007426
                  15,            0.032691,            0.022949,            0.011502,             0.65795,             0.63276,             0.64224,             0.44134,            0.021063,            0.010186,           0.0076686,            0.007228,            0.007228,            0.007228
                  16,             0.03174,              0.0226,            0.010246,             0.66336,             0.62361,             0.63069,             0.43233,            0.021147,            0.010058,           0.0069299,             0.00703,             0.00703,             0.00703
                  17,            0.031182,            0.022346,            0.010959,             0.68196,             0.62577,             0.66498,              0.4656,             0.02023,            0.010106,           0.0066035,            0.006832,            0.006832,            0.006832
                  18,             0.03118,            0.022847,             0.01071,             0.70406,             0.65214,             0.67384,             0.46325,            0.019526,           0.0097488,           0.0056606,            0.006634,            0.006634,            0.006634
                  19,            0.030387,            0.021406,            0.009459,             0.65847,              0.6508,             0.65054,             0.45949,            0.019779,           0.0099058,           0.0081454,            0.006436,            0.006436,            0.006436
                  20,            0.030454,            0.021903,           0.0090735,             0.69594,              0.6801,             0.70493,             0.48338,            0.020526,            0.010009,           0.0059131,            0.006238,            0.006238,            0.006238
                  21,             0.03045,            0.021833,           0.0095637,             0.63314,             0.73634,             0.71692,              0.5112,            0.019273,           0.0095688,           0.0040546,             0.00604,             0.00604,             0.00604
                  22,            0.029127,             0.02124,           0.0092362,             0.65017,             0.71578,             0.71648,             0.51828,            0.019123,           0.0096728,           0.0053311,            0.005842,            0.005842,            0.005842
                  23,            0.029556,             0.02147,           0.0098574,             0.69693,              0.6878,             0.71853,             0.51086,            0.019749,            0.010035,           0.0052683,            0.005644,            0.005644,            0.005644
                  24,            0.028892,            0.021798,           0.0081761,             0.67654,             0.74627,             0.74022,               0.526,            0.018773,           0.0092861,           0.0040912,            0.005446,            0.005446,            0.005446
                  25,            0.028554,            0.020853,           0.0075293,             0.69431,             0.71852,              0.7292,             0.52317,            0.019099,           0.0096377,           0.0042509,            0.005248,            0.005248,            0.005248
                  26,             0.02801,            0.021064,           0.0079221,             0.68583,             0.75424,             0.76825,             0.54777,            0.019034,           0.0093081,           0.0037563,             0.00505,             0.00505,             0.00505
                  27,            0.028055,            0.021131,           0.0071226,             0.69864,             0.72207,             0.73601,             0.53636,              0.0189,           0.0094017,           0.0031293,            0.004852,            0.004852,            0.004852
                  28,            0.027951,            0.020867,           0.0064326,             0.67845,              0.7487,             0.75668,              0.5475,            0.018741,           0.0095111,           0.0032369,            0.004654,            0.004654,            0.004654
                  29,             0.02779,            0.020641,           0.0063243,             0.69367,             0.78435,             0.76282,              0.5543,            0.018129,           0.0091898,           0.0026398,            0.004456,            0.004456,            0.004456
                  30,            0.026873,            0.020696,           0.0060965,             0.70325,             0.77926,             0.76031,             0.56221,             0.01778,             0.00902,           0.0027546,            0.004258,            0.004258,            0.004258
                  31,            0.026617,            0.020155,           0.0056801,             0.69598,             0.79343,              0.7663,             0.56476,            0.017629,           0.0088988,           0.0047897,             0.00406,             0.00406,             0.00406
                  32,            0.027294,             0.01986,           0.0062141,             0.68797,             0.79061,             0.75259,             0.54876,            0.017092,           0.0090586,           0.0026109,            0.003862,            0.003862,            0.003862
                  33,            0.025678,             0.01997,           0.0056957,             0.71333,             0.77988,             0.76706,              0.5663,            0.017428,           0.0089782,           0.0023499,            0.003664,            0.003664,            0.003664
                  34,            0.025601,            0.020372,           0.0056824,             0.69807,             0.77987,              0.7541,             0.56097,            0.016961,           0.0090167,           0.0028121,            0.003466,            0.003466,            0.003466
                  35,            0.025131,            0.019676,           0.0053148,              0.7058,             0.80923,             0.78404,             0.58568,            0.016861,           0.0086822,           0.0022495,            0.003268,            0.003268,            0.003268
                  36,            0.025229,            0.019926,           0.0050485,             0.71645,             0.78877,             0.78726,              0.5899,            0.017095,            0.008661,           0.0020378,             0.00307,             0.00307,             0.00307
                  37,            0.024854,            0.019369,            0.004181,             0.72816,             0.79039,             0.79587,             0.59903,            0.016847,           0.0085502,           0.0021951,            0.002872,            0.002872,            0.002872
                  38,              0.0246,            0.019357,           0.0042025,             0.73032,             0.82275,             0.80648,             0.61091,            0.016353,           0.0086015,           0.0016863,            0.002674,            0.002674,            0.002674
                  39,            0.024006,            0.019839,           0.0043469,             0.71104,             0.80258,             0.77806,             0.58958,            0.016533,             0.00879,           0.0018207,            0.002476,            0.002476,            0.002476
                  40,            0.023706,            0.019515,           0.0044468,             0.71681,             0.83295,             0.78999,             0.59741,            0.016662,           0.0084915,           0.0017223,            0.002278,            0.002278,            0.002278
                  41,            0.023425,            0.018915,           0.0043559,             0.72397,             0.79048,             0.78805,             0.60354,            0.016135,           0.0085326,           0.0015903,             0.00208,             0.00208,             0.00208
                  42,            0.023774,            0.018578,           0.0038095,             0.71985,             0.78953,             0.78252,             0.59568,            0.016166,           0.0085656,            0.001978,            0.001882,            0.001882,            0.001882
                  43,            0.023074,            0.018661,           0.0039103,             0.73955,              0.8108,             0.79171,             0.59808,            0.016336,           0.0083646,           0.0017924,            0.001684,            0.001684,            0.001684
                  44,            0.022724,            0.018809,           0.0034633,              0.7536,             0.77635,             0.79055,             0.60648,            0.016234,           0.0084273,           0.0017702,            0.001486,            0.001486,            0.001486
                  45,            0.022812,             0.01888,           0.0034856,             0.73433,             0.81631,             0.80207,             0.61581,            0.016175,           0.0082627,           0.0019737,            0.001288,            0.001288,            0.001288
                  46,            0.023294,            0.018894,           0.0035382,             0.75409,             0.79089,             0.80358,             0.61998,            0.015909,            0.008287,           0.0015873,             0.00109,             0.00109,             0.00109
                  47,            0.021808,            0.018215,           0.0032888,             0.72281,             0.80557,             0.79178,             0.60739,            0.015686,           0.0084102,           0.0015773,            0.000892,            0.000892,            0.000892
                  48,            0.021945,            0.018742,           0.0034674,             0.75095,             0.80752,             0.80792,             0.62229,            0.015698,           0.0082177,           0.0014932,            0.000694,            0.000694,            0.000694
                  49,            0.022022,            0.018361,           0.0031943,             0.74749,             0.82049,             0.80653,             0.62398,            0.015566,           0.0082207,           0.0014882,            0.000496,            0.000496,            0.000496
